State,RequiredAssessmentforpreK,Year,state_abbrev,state_fips,_merge
NEW HAMPSHIRE,NA,2015,NH,33,matched (3)
NEW JERSEY,Performance-based assessment,2015,NJ,34,matched (3)
NEW MEXICO,New Mexico PreK Observational Assessment ,2015,NM,35,matched (3)
NEW YORK,Required assessment instruments are determined locally,2015,NY,36,matched (3)
NORTH CAROLINA,Required assessment instruments are determined locally,2015,NC,37,matched (3)
NORTH DAKOTA,NA,2015,ND,38,matched (3)
OHIO,Early Learning Assessment,2015,OH,39,matched (3)
OKLAHOMA,NA,2015,OK,40,matched (3)
OREGON,Teaching Strategies GOLD,2015,OR,41,matched (3)
PENNSYLVANIA,Required assessment instruments are determined locally,2015,PA,42,matched (3)
RHODE ISLAND,Teaching Strategies GOLD,2015,RI,44,matched (3)
SOUTH CAROLINA,mCLASS CIRCLE,2015,SC,45,matched (3)
SOUTH DAKOTA,NA,2015,SD,46,matched (3)
TENNESSEE,Required assessment instruments are determined locally,2015,TN,47,matched (3)
TEXAS,NA,2015,TX,48,matched (3)
UTAH,NA,2015,UT,49,matched (3)
VERMONT,Teaching Strategies GOLD,2015,VT,50,matched (3)
VIRGINIA,Phonological Awareness Literacy Screening (PALS),2015,VA,51,matched (3)
WASHINGTON,Teaching Strategies GOLD,2015,WA,53,matched (3)
WEST VIRGINIA,Early Learning Scale (ELS),2015,WV,54,matched (3)
WISCONSIN,Phonological Awareness Literacy Screening (PALS),2015,WI,55,matched (3)
WYOMING,NA,2015,WY,56,matched (3)
ALABAMA,Teaching Strategies GOLD,2016,AL,1,matched (3)
ALASKA,Teaching Strategies GOLD,2016,AK,2,matched (3)
ARIZONA,Required assessment instruments are determined locally,2016,AZ,4,matched (3)
ARKANSAS,Work Sampling System,2016,AR,5,matched (3)
CALIFORNIA,Desired Results Developmental Profile (DRDP),2016,CA,6,matched (3)
COLORADO,Teaching Strategies GOLD,2016,CO,8,matched (3)
CONNECTICUT,Required assessment instruments are determined locally,2016,CT,9,matched (3)
DELAWARE,Teaching Strategies GOLD,2016,DE,10,matched (3)
DISTRICT OF COLUMBIA,NA,2016,DC,11,matched (3)
FLORIDA,Multiple Assessments,2016,FL,12,matched (3)
GEORGIA,Work Sampling System,2016,GA,13,matched (3)
HAWAII,Teaching Strategies GOLD,2016,HI,15,matched (3)
IDAHO,NA,2016,ID,16,matched (3)
ILLINOIS,Required assessment instruments are determined locally,2016,IL,17,matched (3)
INDIANA,Indiana Standards Tool for Alternate Reporting of Kindergarten Readiness,2016,IN,18,matched (3)
IOWA,Teaching Strategies GOLD,2016,IA,19,matched (3)
KANSAS,Multiple Assessments,2016,KS,20,matched (3)
KENTUCKY,Multiple Assessments,2016,KY,21,matched (3)
LOUISIANA,Teaching Strategies GOLD,2016,LA,22,matched (3)
MAINE,Required assessment instruments are determined locally,2016,ME,23,matched (3)
MARYLAND,Required assessment instruments are determined locally,2016,MD,24,matched (3)
MASSACHUSETTS,Multiple Assessments,2016,MA,25,matched (3)
MICHIGAN,Multiple Assessments,2016,MI,26,matched (3)
MINNESOTA,Multiple Assessments,2016,MN,27,matched (3)
MISSISSIPPI,Multiple Assessments,2016,MS,28,matched (3)
MISSOURI,Desired Results Developmental Profile (DRDP),2016,MO,29,matched (3)
MONTANA,NA,2016,MT,30,matched (3)
NEBRASKA,Teaching Strategies GOLD,2016,NE,31,matched (3)
NEVADA,Multiple Assessments,2016,NV,32,matched (3)
NEW HAMPSHIRE,NA,2016,NH,33,matched (3)
NEW JERSEY,Multiple Assessments,2016,NJ,34,matched (3)
NEW MEXICO,New Mexico PreK Observational Assessment ,2016,NM,35,matched (3)
NEW YORK,Required assessment instruments are determined locally,2016,NY,36,matched (3)
NORTH CAROLINA,Required assessment instruments are determined locally,2016,NC,37,matched (3)
NORTH DAKOTA,NA,2016,ND,38,matched (3)
OHIO,Required assessment instruments are determined locally,2016,OH,39,matched (3)
OKLAHOMA,NA,2016,OK,40,matched (3)
OREGON,Teaching Strategies GOLD,2016,OR,41,matched (3)
PENNSYLVANIA,Required assessment instruments are determined locally,2016,PA,42,matched (3)
RHODE ISLAND,Teaching Strategies GOLD,2016,RI,44,matched (3)
SOUTH CAROLINA,Multiple Assessments,2016,SC,45,matched (3)
SOUTH DAKOTA,NA,2016,SD,46,matched (3)
TENNESSEE,NA,2016,TN,47,matched (3)
TEXAS,NA,2016,TX,48,matched (3)
UTAH,NA,2016,UT,49,matched (3)
VERMONT,Teaching Strategies GOLD,2016,VT,50,matched (3)
VIRGINIA,Phonological Awareness Literacy Screening (PALS),2016,VA,51,matched (3)
WASHINGTON,Teaching Strategies GOLD,2016,WA,53,matched (3)
WEST VIRGINIA,Early Learning Scale (ELS),2016,WV,54,matched (3)
WISCONSIN,Required assessment instruments are determined locally,2016,WI,55,matched (3)
WYOMING,NA,2016,WY,56,matched (3)
ALABAMA,Teaching Strategies GOLD,2017,AL,1,matched (3)
ALASKA,Teaching Strategies GOLD,2017,AK,2,matched (3)
ARIZONA,Required assessment instruments are determined locally,2017,AZ,4,matched (3)
ARKANSAS,Work Sampling System,2017,AR,5,matched (3)
CALIFORNIA,Desired Results Developmental Profile (DRDP),2017,CA,6,matched (3)
COLORADO,Teaching Strategies GOLD,2017,CO,8,matched (3)
CONNECTICUT,Required assessment instruments are determined locally,2017,CT,9,matched (3)
DELAWARE,Teaching Strategies GOLD,2017,DE,10,matched (3)
DISTRICT OF COLUMBIA,NA,2017,DC,11,matched (3)
FLORIDA,Multiple Assessments,2017,FL,12,matched (3)
GEORGIA,Work Sampling System,2017,GA,13,matched (3)
HAWAII,Teaching Strategies GOLD,2017,HI,15,matched (3)
IDAHO,NA,2017,ID,16,matched (3)
ILLINOIS,Required assessment instruments are determined locally,2017,IL,17,matched (3)
INDIANA,Indiana Standards Tool for Alternate Reporting of Kindergarten Readiness,2017,IN,18,matched (3)
IOWA,Teaching Strategies GOLD,2017,IA,19,matched (3)
KANSAS,Multiple Assessments,2017,KS,20,matched (3)
KENTUCKY,Multiple Assessments,2017,KY,21,matched (3)
LOUISIANA,Teaching Strategies GOLD,2017,LA,22,matched (3)
MAINE,Required assessment instruments are determined locally,2017,ME,23,matched (3)
MARYLAND,Required assessment instruments are determined locally,2017,MD,24,matched (3)
MASSACHUSETTS,Multiple Assessments,2017,MA,25,matched (3)
MICHIGAN,Multiple Assessments,2017,MI,26,matched (3)
MINNESOTA,Multiple Assessments,2017,MN,27,matched (3)
MISSISSIPPI,Mississippi State Kindergarten Readiness Assessment,2017,MS,28,matched (3)
MISSOURI,Desired Results Developmental Profile (DRDP),2017,MO,29,matched (3)
MONTANA,NA,2017,MT,30,matched (3)
NEBRASKA,Teaching Strategies GOLD,2017,NE,31,matched (3)
NEVADA,Brigance,2017,NV,32,matched (3)
NEW HAMPSHIRE,NA,2017,NH,33,matched (3)
NEW JERSEY,Multiple Assessments,2017,NJ,34,matched (3)
NEW MEXICO,New Mexico PreK Observational Assessment ,2017,NM,35,matched (3)
NEW YORK,Required assessment instruments are determined locally,2017,NY,36,matched (3)
NORTH CAROLINA,Required assessment instruments are determined locally,2017,NC,37,matched (3)
NORTH DAKOTA,NA,2017,ND,38,matched (3)
OHIO,Required assessment instruments are determined locally,2017,OH,39,matched (3)
OKLAHOMA,NA,2017,OK,40,matched (3)
OREGON,Required assessment instruments are determined locally,2017,OR,41,matched (3)
PENNSYLVANIA,Required assessment instruments are determined locally,2017,PA,42,matched (3)
RHODE ISLAND,Teaching Strategies GOLD,2017,RI,44,matched (3)
SOUTH CAROLINA,Multiple Assessments,2017,SC,45,matched (3)
SOUTH DAKOTA,NA,2017,SD,46,matched (3)
TENNESSEE,Required assessment instruments are determined locally,2017,TN,47,matched (3)
TEXAS,NA,2017,TX,48,matched (3)
UTAH,NA,2017,UT,49,matched (3)
VERMONT,Teaching Strategies GOLD,2017,VT,50,matched (3)
VIRGINIA,Phonological Awareness Literacy Screening (PALS),2017,VA,51,matched (3)
WASHINGTON,Teaching Strategies GOLD,2017,WA,53,matched (3)
WEST VIRGINIA,Early Learning Scale (ELS),2017,WV,54,matched (3)
WISCONSIN,Required assessment instruments are determined locally,2017,WI,55,matched (3)
WYOMING,NA,2017,WY,56,matched (3)
ALABAMA,Teaching Strategies GOLD,2018,AL,1,matched (3)
ALASKA,Teaching Strategies GOLD,2018,AK,2,matched (3)
ARIZONA,Required assessment instruments are determined locally,2018,AZ,4,matched (3)
ARKANSAS,Work Sampling System,2018,AR,5,matched (3)
CALIFORNIA,Desired Results Developmental Profile (DRDP),2018,CA,6,matched (3)
COLORADO,Teaching Strategies GOLD,2018,CO,8,matched (3)
CONNECTICUT,Required assessment instruments are determined locally,2018,CT,9,matched (3)
DELAWARE,Teaching Strategies GOLD,2018,DE,10,matched (3)
DISTRICT OF COLUMBIA,NA,2018,DC,11,matched (3)
FLORIDA,Voluntary Prekindergarten (VPK) Assessment,2018,FL,12,matched (3)
GEORGIA,Work Sampling System,2018,GA,13,matched (3)
HAWAII,Teaching Strategies GOLD,2018,HI,15,matched (3)
IDAHO,NA,2018,ID,16,matched (3)
ILLINOIS,Required assessment instruments are determined locally,2018,IL,17,matched (3)
INDIANA,NA,2018,IN,18,matched (3)
IOWA,Teaching Strategies GOLD,2018,IA,19,matched (3)
KANSAS,Required assessment instruments are determined locally,2018,KS,20,matched (3)
KENTUCKY,Multiple Assessments,2018,KY,21,matched (3)
LOUISIANA,Teaching Strategies GOLD,2018,LA,22,matched (3)
MAINE,Required assessment instruments are determined locally,2018,ME,23,matched (3)
MARYLAND,Required assessment instruments are determined locally,2018,MD,24,matched (3)
MASSACHUSETTS,Multiple Assessments,2018,MA,25,matched (3)
MICHIGAN,Multiple Assessments,2018,MI,26,matched (3)
MINNESOTA,Multiple Assessments,2018,MN,27,matched (3)
MISSISSIPPI,Multiple Assessments,2018,MS,28,matched (3)
MISSOURI,Desired Results Developmental Profile (DRDP),2018,MO,29,matched (3)
MONTANA,Multiple Assessments,2018,MT,30,matched (3)
NEBRASKA,Teaching Strategies GOLD,2018,NE,31,matched (3)
NEVADA,Multiple Assessments,2018,NV,32,matched (3)
NEW HAMPSHIRE,NA,2018,NH,33,matched (3)
NEW JERSEY,Multiple Assessments,2018,NJ,34,matched (3)
NEW MEXICO,New Mexico PreK Observational Assessment ,2018,NM,35,matched (3)
NEW YORK,Required assessment instruments are determined locally,2018,NY,36,matched (3)
NORTH CAROLINA,Multiple Assessments,2018,NC,37,matched (3)
NORTH DAKOTA,NA,2018,ND,38,matched (3)
OHIO,Early Learning Assessment,2018,OH,39,matched (3)
OKLAHOMA,NA,2018,OK,40,matched (3)
OREGON,Multiple Assessments,2018,OR,41,matched (3)
PENNSYLVANIA,Required assessment instruments are determined locally,2018,PA,42,matched (3)
RHODE ISLAND,Teaching Strategies GOLD,2018,RI,44,matched (3)
SOUTH CAROLINA,Multiple Assessments,2018,SC,45,matched (3)
SOUTH DAKOTA,NA,2018,SD,46,matched (3)
TENNESSEE,Growth Portfolio Model,2018,TN,47,matched (3)
TEXAS,NA,2018,TX,48,matched (3)
UTAH,NA,2018,UT,49,matched (3)
VERMONT,Multiple Assessments,2018,VT,50,matched (3)
VIRGINIA,Phonological Awareness Literacy Screening (PALS),2018,VA,51,matched (3)
WASHINGTON,Teaching Strategies GOLD,2018,WA,53,matched (3)
WEST VIRGINIA,Early Learning Scale (ELS),2018,WV,54,matched (3)
WISCONSIN,Required assessment instruments are determined locally,2018,WI,55,matched (3)
WYOMING,NA,2018,WY,56,matched (3)
ALABAMA,Teaching Strategies GOLD,2019,AL,1,matched (3)
ALASKA,Teaching Strategies GOLD,2019,AK,2,matched (3)
ARIZONA,Required assessment instruments are determined locally,2019,AZ,4,matched (3)
ARKANSAS,Work Sampling System,2019,AR,5,matched (3)
CALIFORNIA,Desired Results Developmental Profile (DRDP),2019,CA,6,matched (3)
COLORADO,Multiple Assessments,2019,CO,8,matched (3)
CONNECTICUT,Required assessment instruments are determined locally,2019,CT,9,matched (3)
DELAWARE,Teaching Strategies GOLD,2019,DE,10,matched (3)
DISTRICT OF COLUMBIA,NA,2019,DC,11,matched (3)
FLORIDA,Voluntary Prekindergarten (VPK) Assessment,2019,FL,12,matched (3)
GEORGIA,Work Sampling System,2019,GA,13,matched (3)
HAWAII,Teaching Strategies GOLD,2019,HI,15,matched (3)
IDAHO,NA,2019,ID,16,matched (3)
ILLINOIS,Required assessment instruments are determined locally,2019,IL,17,matched (3)
INDIANA,NA,2019,IN,18,matched (3)
IOWA,Teaching Strategies GOLD,2019,IA,19,matched (3)
KANSAS,Required assessment instruments are determined locally,2019,KS,20,matched (3)
KENTUCKY,Multiple Assessments,2019,KY,21,matched (3)
LOUISIANA,Teaching Strategies GOLD,2019,LA,22,matched (3)
MAINE,Required assessment instruments are determined locally,2019,ME,23,matched (3)
MARYLAND,Required assessment instruments are determined locally,2019,MD,24,matched (3)
MASSACHUSETTS,Multiple Assessments,2019,MA,25,matched (3)
MICHIGAN,Multiple Assessments,2019,MI,26,matched (3)
MINNESOTA,Multiple Assessments,2019,MN,27,matched (3)
MISSISSIPPI,Multiple Assessments,2019,MS,28,matched (3)
MISSOURI,Desired Results Developmental Profile (DRDP),2019,MO,29,matched (3)
MONTANA,Multiple Assessments,2019,MT,30,matched (3)
NEBRASKA,Teaching Strategies GOLD,2019,NE,31,matched (3)
NEVADA,Multiple Assessments,2019,NV,32,matched (3)
NEW HAMPSHIRE,NA,2019,NH,33,matched (3)
NEW JERSEY,Multiple Assessments,2019,NJ,34,matched (3)
NEW MEXICO,New Mexico PreK Observational Assessment ,2019,NM,35,matched (3)
NEW YORK,Required assessment instruments are determined locally,2019,NY,36,matched (3)
NORTH CAROLINA,Multiple Assessments,2019,NC,37,matched (3)
NORTH DAKOTA,NA,2019,ND,38,matched (3)
OHIO,Early Learning Assessment,2019,OH,39,matched (3)
OKLAHOMA,NA,2019,OK,40,matched (3)
OREGON,Teaching Strategies GOLD,2019,OR,41,matched (3)
PENNSYLVANIA,Required assessment instruments are determined locally,2019,PA,42,matched (3)
RHODE ISLAND,Teaching Strategies GOLD,2019,RI,44,matched (3)
SOUTH CAROLINA,Multiple Assessments,2019,SC,45,matched (3)
SOUTH DAKOTA,NA,2019,SD,46,matched (3)
TENNESSEE,Growth Portfolio Model,2019,TN,47,matched (3)
TEXAS,Multiple Assessments,2019,TX,48,matched (3)
UTAH,NA,2019,UT,49,matched (3)
VERMONT,Multiple Assessments,2019,VT,50,matched (3)
VIRGINIA,Phonological Awareness Literacy Screening (PALS),2019,VA,51,matched (3)
WASHINGTON,Teaching Strategies GOLD,2019,WA,53,matched (3)
WEST VIRGINIA,Early Learning Scale (ELS),2019,WV,54,matched (3)
WISCONSIN,Required assessment instruments are determined locally,2019,WI,55,matched (3)
WYOMING,NA,2019,WY,56,matched (3)
ALABAMA,Teaching Strategies GOLD,2020,AL,1,matched (3)
ALASKA,Teaching Strategies GOLD,2020,AK,2,matched (3)
ARIZONA,Required assessment instruments are determined locally,2020,AZ,4,matched (3)
ARKANSAS,Work Sampling System,2020,AR,5,matched (3)
CALIFORNIA,Desired Results Developmental Profile (DRDP),2020,CA,6,matched (3)
COLORADO,Multiple Assessments,2020,CO,8,matched (3)
CONNECTICUT,Required assessment instruments are determined locally,2020,CT,9,matched (3)
DELAWARE,Teaching Strategies GOLD,2020,DE,10,matched (3)
DISTRICT OF COLUMBIA,NA,2020,DC,11,matched (3)
FLORIDA,Voluntary Prekindergarten (VPK) Assessment,2020,FL,12,matched (3)
GEORGIA,Work Sampling System,2020,GA,13,matched (3)
HAWAII,Teaching Strategies GOLD,2020,HI,15,matched (3)
IDAHO,NA,2020,ID,16,matched (3)
ILLINOIS,Required assessment instruments are determined locally,2020,IL,17,matched (3)
INDIANA,NA,2020,IN,18,matched (3)
IOWA,Teaching Strategies GOLD,2020,IA,19,matched (3)
KANSAS,Required assessment instruments are determined locally,2020,KS,20,matched (3)
KENTUCKY,Multiple Assessments,2020,KY,21,matched (3)
LOUISIANA,Teaching Strategies GOLD,2020,LA,22,matched (3)
MAINE,Required assessment instruments are determined locally,2020,ME,23,matched (3)
MARYLAND,Required assessment instruments are determined locally,2020,MD,24,matched (3)
MASSACHUSETTS,Multiple Assessments,2020,MA,25,matched (3)
MICHIGAN,Multiple Assessments,2020,MI,26,matched (3)
MINNESOTA,Multiple Assessments,2020,MN,27,matched (3)
MISSISSIPPI,Multiple Assessments,2020,MS,28,matched (3)
MISSOURI,Desired Results Developmental Profile (DRDP),2020,MO,29,matched (3)
MONTANA,NA,2020,MT,30,matched (3)
NEBRASKA,Teaching Strategies GOLD,2020,NE,31,matched (3)
NEVADA,Multiple Assessments,2020,NV,32,matched (3)
NEW HAMPSHIRE,NA,2020,NH,33,matched (3)
NEW JERSEY,Multiple Assessments,2020,NJ,34,matched (3)
NEW MEXICO,New Mexico PreK Observational Assessment ,2020,NM,35,matched (3)
NEW YORK,Required assessment instruments are determined locally,2020,NY,36,matched (3)
NORTH CAROLINA,Multiple Assessments,2020,NC,37,matched (3)
NORTH DAKOTA,NA,2020,ND,38,matched (3)
OHIO,Early Learning Assessment,2020,OH,39,matched (3)
OKLAHOMA,NA,2020,OK,40,matched (3)
OREGON,Teaching Strategies GOLD,2020,OR,41,matched (3)
PENNSYLVANIA,Required assessment instruments are determined locally,2020,PA,42,matched (3)
RHODE ISLAND,Teaching Strategies GOLD,2020,RI,44,matched (3)
SOUTH CAROLINA,Multiple Assessments,2020,SC,45,matched (3)
SOUTH DAKOTA,NA,2020,SD,46,matched (3)
TENNESSEE,Growth Portfolio Model,2020,TN,47,matched (3)
TEXAS,Multiple Assessments,2020,TX,48,matched (3)
UTAH,Multiple Assessments,2020,UT,49,matched (3)
VERMONT,Multiple Assessments,2020,VT,50,matched (3)
VIRGINIA,Phonological Awareness Literacy Screening (PALS),2020,VA,51,matched (3)
WASHINGTON,Teaching Strategies GOLD,2020,WA,53,matched (3)
WEST VIRGINIA,Multiple Assessments,2020,WV,54,matched (3)
WISCONSIN,Required assessment instruments are determined locally,2020,WI,55,matched (3)
WYOMING,NA,2020,WY,56,matched (3)
